*******************************************************************************
 Revised: Mar 22, 2018        New Horizons Spacecraft                      -98
                          http://pluto.jhuapl.edu/index.php

 Schedule overview:
  2006-Jan-19 ... launch (Atlas V551 1st stage, Centaur 2nd, STAR 48B 3rd
  2006-Jun-13 ... Approaches 2002 JF56 to within 102,000 km at 04:06 CT
  2007-Feb-28 ... Jupiter gravity assist (05:43 UTC, 2.3045(10)^6 km)
  2015-Jul-14 ... Pluto Charon encounter @ 11:49:57 UTC
  2016+       ... Kuiper Belt Object targeting 
  2019-Jan-1  ... 2014 MU69 flyby
  
 Mission Objectives:
  * Map surface composition of Pluto and Charon
  * Characterize geology and morphology of Pluto and Charon
  * Characterize the neutral atmosphere of Pluto and its escape rate
  * Search for an atmosphere around Charon
  * Map surface temperatures on Pluto and Charon
  * Search for rings and additional satellites around Pluto
  * Conduct similar investigations of one or more Kuiper Belt Objects

 Spacecraft:
  1025 lbs (465 kg), 8 feet wide (2.5 m), RTG powered

 Update 2016-Oct-13: Pluto encounter reconstruction
   Merged trajectory solutions from KinetX navigation team
    Pluto barycenter: NavSE_plu043_od123.V0.1
    Satellites/planet: NavPE_de433_od123.V0.1

 Update 2018-Mar-21: 2014 MU69 encounter planning
   Merged trajectory solution from NH Mission Design (SWRI)
   TNO mission planning trajectory from 2017-Dec-9 onward

 USAGE NOTE:
  To produce Horizons output relative to the 2014 MU69 mission target 
  trajectory, specify a coordinate center of "@2486958".
 
  The 2014 MU69 target body trajectory used is "2014MU69_SBP_180320_ey1", 
  and is based on unreleased flight project astrometry through 2018-Mar-16.
  
 Concatenated spacecraft trajectory:
 File                                     Start              Stop
 ---------------------------------------- -----------------  -----------------
 nh_pred_20060119_20070101_od021          2006-Jan-19 19:52  2007-Jan-01 00:00
 nh_ref_20060119_20150925_v04             2007-Jan-01 00:00  2007-Mar-19 00:00
 98_pred_20070319_20150101_od070          2007-Mar-19 00:00  2012-May-01 13:47
 98_pred_20120501_20160913_od117          2012-May-01 13:47  2015-Aug-01 00:00
 nh_nom_20151022_20201001_v10_V0.1        2015-Oct-22 17:51  2020-Oct-01 00:00
 98_nom_20150801_20231223_od126_tcm22.V.1 2015-Aug-01 00:00  2017-Dec-09 09:39
 nh_nom_20171209_20301231_v14             2017-Dec-09 09:49  2030-Dec-31 19:01
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Wed Jul 25 22:00:33 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: New Horizons (spacecraft) (-98) {source: NH_merged}
Center body name: Earth (399)                     {source: NH_merged}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2006-Jan-20 00:00:00.0000 UT      
Stop  time      : A.D. 2018-Jun-13 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Pluto
Vis. interferer : MOON (R_eq= 1737.400) km        {source: NH_merged}
Rel. light bend : Sun, EARTH                      {source: NH_merged}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
EOP file        : eop.180725.p181016                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2018-JUL-25. PREDICTS-> 2018-OCT-15
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
************************************************************************************************
 Date__(UT)__HR:MN     R.A.__(a-apparent)__DEC            delta      deldot    S-O-T /r    S-T-O
************************************************************************************************
$$SOE
 2006-Jan-20 00:00     13 48 40.17 -10 03 35.1 0.00136927080254  12.7019813  90.9584 /L  88.9643
 2006-Jan-21 00:00     13 56 07.53 -09 04 49.4 0.00865028356412  12.5774816  90.5975 /L  88.9013
 2006-Jan-22 00:00     13 56 45.97 -08 59 42.5 0.01590701384343  12.5571025  91.4951 /L  87.5820
 2006-Jan-23 00:00     13 57 00.13 -08 57 45.6 0.02315334413186  12.5397830  92.4678 /L  86.1896
 2006-Jan-24 00:00     13 57 06.98 -08 56 40.3 0.03038925555804  12.5207198  93.4636 /L  84.7770
 2006-Jan-25 00:00     13 57 10.29 -08 55 54.1 0.03761341611076  12.4990283  94.4712 /L  83.3564
 2006-Jan-26 00:00     13 57 11.31 -08 55 15.1 0.04482426313530  12.4746198  95.4866 /L  81.9323
 2006-Jan-27 00:00     13 57 10.53 -08 54 37.9 0.05202027601336  12.4476907  96.5088 /L  80.5070
 2006-Jan-28 00:00     13 57 08.16 -08 53 59.3 0.05920008710053  12.4185608  97.5370 /L  79.0817
 2006-Jan-29 00:00     13 57 04.37 -08 53 17.2 0.06636233325174  12.3859452  98.5707 /L  77.6579
 2006-Jan-30 00:00     13 56 59.45 -08 52 29.4 0.07350549116191  12.3534535  99.6092 /L  76.2371
 2006-Jan-31 00:00     13 56 53.18 -08 51 35.8 0.08062901647730  12.3154137 100.6531 /L  74.8193
 2006-Feb-01 00:00     13 56 46.14 -08 50 34.0 0.08773079036668  12.2807077 101.7003 /L  73.4073
 2006-Feb-02 00:00     13 56 37.40 -08 49 26.7 0.09481228611782  12.2452018 102.7544 /L  71.9983
 2006-Feb-03 00:00     13 56 26.96 -08 48 13.4 0.10187309133476  12.2090636 103.8151 /L  70.5930
 2006-Feb-04 00:00     13 56 14.83 -08 46 53.7 0.10891289500310  12.1724868 104.8827 /L  69.1919
 2006-Feb-05 00:00     13 56 01.00 -08 45 27.2 0.11593150873109  12.1357026 105.9570 /L  67.7955
 2006-Feb-06 00:00     13 55 45.44 -08 43 53.3 0.12292889228603  12.0989941 107.0384 /L  66.4043
 2006-Feb-07 00:00     13 55 28.12 -08 42 11.8 0.12990518286347  12.0626910 108.1269 /L  65.0184
 2006-Feb-08 00:00     13 55 08.98 -08 40 22.2 0.13686072047642  12.0271679 109.2228 /L  63.6383
 2006-Feb-09 00:00     13 54 47.98 -08 38 24.0 0.14379607220581  11.9928308 110.3263 /L  62.2641
 2006-Feb-10 00:00     13 54 25.08 -08 36 16.9 0.15071204608344  11.9601097 111.4376 /L  60.8959
 2006-Feb-11 00:00     13 54 00.23 -08 34 00.6 0.15760970498245  11.9294575 112.5568 /L  59.5339
 2006-Feb-12 00:00     13 53 33.39 -08 31 34.6 0.16449037960201  11.9013454 113.6843 /L  58.1783
 2006-Feb-13 00:00     13 53 04.53 -08 28 58.8 0.17135567498187  11.8762540 114.8201 /L  56.8291
 2006-Feb-14 00:00     13 52 33.61 -08 26 12.8 0.17820747752659  11.8546760 115.9644 /L  55.4865
 2006-Feb-15 00:00     13 52 00.62 -08 23 16.5 0.18504796018095  11.8371106 117.1173 /L  54.1504
 2006-Feb-16 00:00     13 51 25.52 -08 20 09.6 0.19187958533700  11.8240604 118.2790 /L  52.8210
 2006-Feb-17 00:00     13 50 48.32 -08 16 52.2 0.19870510545207  11.8160253 119.4495 /L  51.4984
 2006-Feb-18 00:00     13 50 09.01 -08 13 24.1 0.20552756153135  11.8135089 120.6287 /L  50.1826
 2006-Feb-19 00:00     13 49 27.59 -08 09 45.4 0.21235028324798  11.8170026 121.8168 /L  48.8737
 2006-Feb-20 00:00     13 48 44.08 -08 05 56.0 0.21917688252709  11.8269939 123.0136 /L  47.5718
 2006-Feb-21 00:00     13 47 58.50 -08 01 56.1 0.22601125100621  11.8439641 124.2191 /L  46.2771
 2006-Feb-22 00:00     13 47 10.88 -07 57 45.8 0.23285755627841  11.8683873 125.4332 /L  44.9896
 2006-Feb-23 00:00     13 46 21.26 -07 53 25.3 0.23972023715587  11.9007278 126.6555 /L  43.7095
 2006-Feb-24 00:00     13 45 29.68 -07 48 55.0 0.24660399570260  11.9414310 127.8861 /L  42.4369
 2006-Feb-25 00:00     13 44 36.21 -07 44 15.0 0.25351378181866  11.9909060 129.1244 /L  41.1721
 2006-Feb-26 00:00     13 43 40.91 -07 39 25.9 0.26045476493575  12.0494987 130.3703 /L  39.9152
 2006-Feb-27 00:00     13 42 43.86 -07 34 28.0 0.26743228830190  12.1174600 131.6233 /L  38.6665
 2006-Feb-28 00:00     13 41 45.16 -07 29 22.0 0.27445180598350  12.1949199 132.8830 /L  37.4264
 2006-Mar-01 00:00     13 40 44.92 -07 24 08.4 0.28151881044717  12.2818827 134.1489 /L  36.1951
 2006-Mar-02 00:00     13 39 43.26 -07 18 47.9 0.28863876517014  12.3782496 135.4204 /L  34.9731
 2006-Mar-03 00:00     13 38 40.29 -07 13 21.3 0.29581705667059  12.4838606 136.6969 /L  33.7606
 2006-Mar-04 00:00     13 37 36.14 -07 07 49.2 0.30305897269260  12.5985402 137.9780 /L  32.5582
 2006-Mar-05 00:00     13 36 30.93 -07 02 12.3 0.31036970299354  12.7221283 139.2630 /L  31.3660
 2006-Mar-06 00:00     13 35 24.78 -06 56 31.2 0.31775435281720  12.8544928 140.5514 /L  30.1845
 2006-Mar-07 00:00     13 34 17.82 -06 50 46.8 0.32521795902128  12.9955281 141.8426 /L  29.0141
 2006-Mar-08 00:00     13 33 10.16 -06 44 59.5 0.33276550276363  13.1451448 143.1362 /L  27.8550
 2006-Mar-09 00:00     13 32 01.91 -06 39 09.9 0.34040191621935  13.3032609 144.4315 /L  26.7076
 2006-Mar-10 00:00     13 30 53.19 -06 33 18.8 0.34813193493026  13.4688977 145.7280 /L  25.5722
 2006-Mar-11 00:00     13 29 44.12 -06 27 26.5 0.35596017322710  13.6437504 147.0253 /L  24.4490
 2006-Mar-12 00:00     13 28 34.79 -06 21 33.8 0.36389177897871  13.8268347 148.3229 /L  23.3384
 2006-Mar-13 00:00     13 27 25.32 -06 15 41.2 0.37193147697492  14.0180487 149.6202 /L  22.2406
 2006-Mar-14 00:00     13 26 15.81 -06 09 49.3 0.38008393163637  14.2172854 150.9167 /L  21.1558
 2006-Mar-15 00:00     13 25 06.36 -06 03 58.6 0.38835374471970  14.4244351 152.2121 /L  20.0844
 2006-Mar-16 00:00     13 23 57.08 -05 58 09.7 0.39674545369794  14.6393850 153.5057 /L  19.0266
 2006-Mar-17 00:00     13 22 48.06 -05 52 23.0 0.40526353048717  14.8620205 154.7972 /L  17.9827
 2006-Mar-18 00:00     13 21 39.41 -05 46 39.3 0.41391237998096  15.0922243 156.0860 /L  16.9528
 2006-Mar-19 00:00     13 20 31.22 -05 40 58.9 0.42269633817715  15.3298746 157.3716 /L  15.9373
