# OGLE ID        MOA ID	  RA (J2000)	  Dec(J2000)	 Tmax[HJD]    Tmax[UTC]   Talert[HJD]     Talert[UTC]  DeltaT[d]    tE[d]    Umin    Amax   Ibase[mag]   I0[mag]   
None  MOA-2007-BLG-0001  18:00:23.929  -31:02:49.01  2454099.124001  None  None  None  None  60.940758  0.107365  9.3542  20.2875  17.86
None  MOA-2007-BLG-0003  17:44:27.257  -34:16:40.95  2454161.756331  None  None  None  None  44.029717  0.047718  20.9743  23.5342  20.23
None  MOA-2007-BLG-0004  17:52:09.253  -31:27:03.08  2454148.89401  None  None  None  None  4.185668  1.336166  1.1778  20.3577  20.18
None  MOA-2007-BLG-0005  17:57:16.983  -26:52:37.30  2454161.261814  None  None  None  None  61.320539  0.197862  5.1279  20.6049  18.83
None  MOA-2007-BLG-0007  18:01:51.759  -27:36:26.52  2454119.433596  None  None  None  None  5.647897  1.725705  1.092  5.9256  5.83
None  MOA-2007-BLG-0008  17:52:30.439  -28:53:52.67  2454156.459657  None  None  None  None  10.268829  0.442594  2.4221  18.3305  17.37
None  MOA-2007-BLG-0010  17:57:14.773  -28:08:46.90  2454149.158807  None  None  None  None  3.467345  0.076266  13.1406  20.1265  17.33
None  MOA-2007-BLG-0011  18:33:49.395  -23:48:58.10  2454203.925059  None  None  None  None  62.151637  0.163992  6.1592  17.7938  15.82
None  MOA-2007-BLG-0012  17:52:05.299  -29:14:06.46  2454101.545813  None  None  None  None  128.233176  0.310841  3.3325  21.9769  20.67
None  MOA-2007-BLG-0014  17:58:09.459  -33:25:57.31  2454197.952237  None  None  None  None  25.952446  0.117006  8.5904  18.445  16.11
None  MOA-2007-BLG-0015  17:59:01.423  -27:06:42.96  2454128.716531  None  None  None  None  45.378828  0.151203  6.6702  20.1303  18.07
None  MOA-2007-BLG-0017  17:59:05.021  -27:44:40.34  2454139.238987  None  None  None  None  12.450047  5.000000  1.0028  22.143  22.14
None  MOA-2007-BLG-0018  17:56:57.237  -33:03:02.27  2454172.182348  None  None  None  None  5.711699  3.354326  1.0116  11.4125  11.4
None  MOA-2007-BLG-0020  17:58:25.126  -27:22:45.97  2454176.010218  None  None  None  None  36.957779  0.038078  26.2762  24.6089  21.06
None  MOA-2007-BLG-0021  17:57:46.110  -28:15:36.26  2454172.893985  None  None  None  None  11.729655  0.163557  6.1752  20.5166  18.54
None  MOA-2007-BLG-0022  18:04:39.813  -25:15:51.75  2454172.480526  None  None  None  None  17.885582  5.000000  1.0028  22.093  22.09
None  MOA-2007-BLG-0023  17:44:55.805  -33:52:05.67  2454178.229222  None  None  None  None  11.840126  5.000000  1.0028  23.443  23.44
None  MOA-2007-BLG-0025  17:56:42.922  -32:17:01.09  2453957.674875  None  None  None  None  32.852181  5.000000  1.0028  20.223  20.22
None  MOA-2007-BLG-0026  18:09:30.239  -27:07:53.87  2454142.817255  None  None  None  None  52.747904  0.132166  7.6157  21.7743  19.57
None  MOA-2007-BLG-0030  17:51:31.305  -29:17:47.21  2454176.336234  None  None  None  None  10.039939  0.149704  6.7359  20.611  18.54
None  MOA-2007-BLG-0032  17:56:57.197  -33:03:02.33  2454171.318114  None  None  None  None  4.794540  3.790979  1.0075  10.2082  10.2
None  MOA-2007-BLG-0034  18:13:40.181  -25:42:10.33  2454185.079788  None  None  None  None  48.028976  0.111911  8.9776  22.3329  19.95
None  MOA-2007-BLG-0035  17:55:59.758  -33:19:28.66  2454186.069369  None  None  None  None  36.049474  0.073484  13.6359  24.1667  21.33
None  MOA-2007-BLG-0036  17:55:01.175  -32:17:34.55  2454209.28033  None  None  None  None  98.560921  0.065180  15.3666  22.6164  19.65
None  MOA-2007-BLG-0040  17:55:42.805  -28:18:09.18  2454183.770806  None  None  None  None  6.328250  0.529635  2.0812  13.4058  12.61
None  MOA-2007-BLG-0041  18:01:35.253  -32:48:40.65  2453780.036672  None  None  None  None  708.533282  5.000000  1.0028  23.283  23.28
None  MOA-2007-BLG-0042  18:00:10.223  -31:12:44.77  2454224.332177  None  None  None  None  13.705835  5.000000  1.0028  17.283  17.28
None  MOA-2007-BLG-0043  17:58:05.188  -28:32:27.42  2454181.474913  None  None  None  None  40.302892  0.007150  139.8628  29.3143  23.95
None  MOA-2007-BLG-0045  18:06:20.777  -31:25:05.82  2454187.602098  None  None  None  None  29.720086  0.086291  11.621  26.4231  23.76
None  MOA-2007-BLG-0047  18:11:13.309  -27:00:52.39  2454119.655578  None  None  None  None  66.975721  0.107698  9.3256  6.3742  3.95
None  MOA-2007-BLG-0048  18:13:02.465  -26:21:28.91  2454199.187927  None  None  None  None  12.558282  1.176413  1.2397  15.5633  15.33
None  MOA-2007-BLG-0059  17:52:32.856  -32:15:24.83  2454187.432207  None  None  None  None  24.806113  0.379471  2.7755  20.9983  19.89
None  MOA-2007-BLG-0062  18:02:21.849  -28:54:18.75  2454181.51483  None  None  None  None  15.617770  0.119777  8.3937  22.9299  20.62
None  MOA-2007-BLG-0063  17:58:16.617  -28:39:06.14  2454186.965296  None  None  None  None  10.279655  0.218333  4.6616  22.3613  20.69
None  MOA-2007-BLG-0064  18:00:47.993  -27:55:33.65  2454186.964421  None  None  None  None  38.526917  0.079815  12.5589  24.4774  21.73
None  MOA-2007-BLG-0068  18:07:14.440  -28:51:59.07  2454210.015374  None  None  None  None  88.372611  0.296375  3.4842  20.1953  18.84
None  MOA-2007-BLG-0070  18:02:54.638  -28:12:03.03  2454192.688918  None  None  None  None  16.623272  0.327991  3.1705  23.1528  21.90
None  MOA-2007-BLG-0071  18:04:00.511  -32:21:00.54  2454190.531906  None  None  None  None  13.692985  0.118492  8.4838  21.0215  18.70
None  MOA-2007-BLG-0074  17:52:03.427  -29:15:15.32  2454182.380335  None  None  None  None  35.829248  0.064682  15.4845  25.2547  22.28
